audit_id,warehouse_id,auditor_name,status,start_date,end_date
1,1,Sameer Iyer,Completed,2026-07-11,2026-07-21
2,1,Divya Menon,In Progress,2026-07-14,
3,2,Divya Menon,In Progress,2026-07-14,
4,2,Arjun Verma,Pending,2026-07-17,
5,3,Arjun Verma,Pending,2026-07-17,
6,3,Sameer Iyer,Completed,2026-07-20,2026-07-24
7,4,Sameer Iyer,Completed,2026-07-20,2026-07-24
8,4,Divya Menon,In Progress,2026-07-23,
9,5,Divya Menon,In Progress,2026-07-23,
10,5,Arjun Verma,Pending,2026-07-26,
11,6,Arjun Verma,Pending,2026-07-26,
12,6,Sameer Iyer,Completed,2026-07-29,2026-07-27
